City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,guiuan,11.0333,125.7247,28.87,78,100,7.11,PH,1690918192
1,bredasdorp,-34.5322,20.0403,7.21,82,99,1.44,ZA,1690918193
2,port-aux-francais,-49.35,70.2167,5.42,98,100,11.97,TF,1690918193
3,kharp,66.8014,65.8081,18.76,70,100,2.49,RU,1690918193
4,tolanaro,-25.0319,46.9987,21.04,73,40,6.17,MG,1690918193
5,bethel,41.3712,-73.414,26.12,48,75,4.12,US,1690918193
6,laguna,38.421,-121.4238,32.27,46,0,3.6,US,1690918193
7,adamstown,-25.066,-130.1015,20.4,60,100,9.36,PN,1690918193
8,qaqortoq,60.7167,-46.0333,7.65,80,25,1.79,GL,1690918194
9,shelui,-4.3667,34.2,23.51,35,45,3.66,TZ,1690918194
10,waitangi,-43.9535,-176.5597,12.68,92,5,3.58,NZ,1690918194
11,grytviken,-54.2811,-36.5092,-1.26,83,100,4.12,GS,1690918194
12,hermanus,-34.4187,19.2345,7.67,76,97,3.97,ZA,1690918194
13,general pico,-35.6566,-63.7568,25.61,39,0,4.7,AR,1690918194
14,shenjiamen,29.9576,122.298,27.64,89,15,7.8,CN,1690918194
15,puerto baquerizo moreno,-0.9,-89.6,27.55,74,40,5.14,EC,1690918132
16,longgang,37.6508,120.3286,24.88,83,100,4.4,CN,1690918195
17,tofol,5.3248,163.0078,26.36,85,100,5.42,FM,1690918195
18,vilyuchinsk,52.9306,158.4028,11.15,87,97,2.66,RU,1690918195
19,bayji,34.9311,43.487,37.91,12,0,4.26,IQ,1690918195
20,atafu village,-8.5421,-172.5159,28.46,76,82,6.51,TK,1690918195
21,haiku-pauwela,20.9219,-156.3051,26.76,69,40,8.23,US,1690918195
22,huarmey,-10.0681,-78.1522,23.08,66,2,4.71,PE,1690918196
23,wailua homesteads,22.0669,-159.378,27.44,75,0,7.72,US,1690918196
24,puerto natales,-51.7236,-72.4875,1.82,96,100,4.28,CL,1690918196
25,blackmans bay,-43.0167,147.3167,6.4,87,100,2.46,AU,1690918196
26,new norfolk,-42.7826,147.0587,7.06,92,100,1.39,AU,1690918196
27,port alfred,-33.5906,26.891,13.36,78,13,1.3,ZA,1690918196
28,pacocha,-17.5833,-71.3333,18.08,72,100,2.57,PE,1690918196
29,port elizabeth,-33.918,25.5701,9.5,93,0,2.06,ZA,1690918196
30,longyearbyen,78.2186,15.6401,8.91,76,40,2.06,SJ,1690918197
31,bilibino,68.0546,166.4372,9.35,75,7,0.39,RU,1690918197
32,flying fish cove,-10.4217,105.6791,23.82,94,75,2.06,CX,1690918197
33,isafjordur,66.0755,-23.124,11.31,76,88,1.96,IS,1690918197
34,mutsu,41.2894,141.2169,22.32,91,100,3.27,JP,1690918197
35,borogontsy,62.6683,131.1683,8.01,97,10,1.65,RU,1690918197
36,pacific grove,36.6177,-121.9166,21.23,88,100,3.6,US,1690918197
37,port lincoln,-34.7333,135.8667,11.27,76,0,4.7,AU,1690918198
38,shimoda,34.6667,138.95,23.95,87,10,3.24,JP,1690918198
39,pecanha,-18.5486,-42.5569,23.51,43,20,3.76,BR,1690918198
40,badger,64.8,-147.5333,22.3,71,40,0.45,US,1690918198
41,minot air force base,48.4209,-101.3391,32.1,43,40,5.66,US,1690918199
42,kolonia,50.9333,6.95,18.81,77,0,3.6,DE,1690918112
43,college,64.8569,-147.8028,21.16,73,40,0.0,US,1690918055
44,miri,4.4148,114.0089,26.08,94,20,0.0,MY,1690918199
45,tiksi,71.6872,128.8694,5.14,96,100,1.96,RU,1690918199
46,puerto ayora,-0.7393,-90.3518,29.98,86,51,2.24,EC,1690918199
47,constantia,44.1833,28.65,20.39,76,0,4.42,RO,1690918102
48,canutama,-6.5339,-64.3831,39.05,22,57,1.35,BR,1690918199
49,avarua,-21.2078,-159.775,21.03,88,75,5.14,CK,1690918200
50,stanley,54.868,-1.6985,15.16,92,75,3.6,GB,1690918113
51,ribeira grande,38.5167,-28.7,26.54,78,20,6.69,PT,1690918200
52,catia la mar,10.6038,-67.0303,35.11,71,40,3.09,VE,1690918200
53,hamilton,39.1834,-84.5333,29.44,47,20,3.09,US,1690918200
54,edinburgh of the seven seas,-37.0676,-12.3116,14.45,85,100,10.59,SH,1690918201
55,albany,42.6001,-73.9662,24.13,46,49,0.89,US,1690917946
56,al jawf,29.5,38.75,32.57,16,0,2.62,SA,1690918202
57,port mathurin,-19.6833,63.4167,23.38,72,15,10.72,MU,1690918203
58,hovd,48.0056,91.6419,20.08,49,82,0.84,MN,1690918204
59,baker city,44.7749,-117.8344,27.84,21,0,1.54,US,1690918205
60,afaahiti,-17.75,-149.2833,25.93,72,100,7.83,PF,1690918205
61,guerrero negro,27.9769,-114.0611,29.04,49,58,5.97,MX,1690918206
62,laojunmiao,39.8333,97.7333,19.9,32,39,1.13,CN,1690918206
63,wellington,-41.2866,174.7756,9.81,80,83,4.63,NZ,1690917967
64,tralee,52.2704,-9.7026,14.4,97,100,4.33,IE,1690917947
65,udachny,66.4167,112.4,16.92,44,52,1.07,RU,1690918208
66,fale old settlement,-9.3852,-171.2468,28.34,75,11,7.29,TK,1690918208
67,mata-utu,-13.2816,-176.1745,27.37,80,81,4.48,WF,1690918209
68,orsha,54.5153,30.4053,17.38,90,84,3.71,BY,1690918210
69,edgewater,28.9889,-80.9023,35.62,76,66,0.45,US,1690918054
70,utrik,11.2278,169.8474,28.2,76,100,6.83,MH,1690918210
71,san patricio,28.017,-97.5169,38.4,33,0,6.67,US,1690918211
72,suzun,53.7841,82.3116,17.39,74,5,1.05,RU,1690918211
73,qaisumah,28.3112,46.1273,38.98,8,0,3.09,SA,1690918211
74,kodiak,57.79,-152.4072,15.73,77,0,2.57,US,1690918211
75,anadyr,64.75,177.4833,12.28,81,20,5.0,RU,1690918212
76,remire-montjoly,4.9167,-52.2667,26.02,78,4,2.57,GF,1690918212
77,palikir - national government center,6.9248,158.1611,24.41,100,100,1.54,FM,1690918212
78,iqaluit,63.7506,-68.5145,9.85,76,75,3.09,CA,1690918182
79,west island,-12.1568,96.8225,23.99,78,100,4.63,CC,1690918213
80,coquimbo,-29.9533,-71.3436,17.85,67,20,1.54,CL,1690918213
81,thompson,55.7435,-97.8558,25.09,57,75,6.17,CA,1690918213
82,el granada,37.5027,-122.4694,28.29,76,40,5.14,US,1690918214
83,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,20,1.0,RU,1690918214
84,brookings,44.3114,-96.7984,28.43,66,75,5.14,US,1690918214
85,rongelap,11.1635,166.8941,28.21,77,94,6.49,MH,1690918214
86,qa'en,33.7265,59.1844,25.46,23,0,6.67,IR,1690918214
87,san rafael,-34.6177,-68.3301,23.13,25,0,5.0,AR,1690918122
88,klyuchi,52.2667,79.1667,21.33,51,8,2.77,RU,1690918215
89,waddan,29.1614,16.139,32.52,23,0,5.44,LY,1690918215
